Entry,ChEBI_ID
P03891,CHEBI:17976
P03891,CHEBI:57540
P03891,CHEBI:15378
P03891,CHEBI:16389
P03891,CHEBI:57945
P03897,CHEBI:17976
P03897,CHEBI:57540
P03897,CHEBI:15378
P03897,CHEBI:16389
P03897,CHEBI:57945
P04179,CHEBI:18421
P04179,CHEBI:29035
P04179,CHEBI:15378
P04179,CHEBI:16240
P04179,CHEBI:15379
P04406,CHEBI:57604
P04406,CHEBI:43474
P04406,CHEBI:57540
P04406,CHEBI:15378
P04406,CHEBI:29950
P04406,CHEBI:149494
P04406,CHEBI:57945
P04406,CHEBI:59776
P04839,CHEBI:18421
P04839,CHEBI:15378
P04839,CHEBI:57692
P04839,CHEBI:58349
P04839,CHEBI:15379
P04839,CHEBI:57783
P06213,CHEBI:46858
P06213,CHEBI:15378
P06213,CHEBI:456216
P06213,CHEBI:61978
P06213,CHEBI:30616
P06276,CHEBI:15378
P06276,CHEBI:15354
P06276,CHEBI:35287
P06276,CHEBI:29067
P06276,CHEBI:15377
P06733,CHEBI:58289
P06733,CHEBI:58702
P06733,CHEBI:15377
P06733,CHEBI:18420
P06737,CHEBI:43474
P06737,CHEBI:58601
P06737,CHEBI:15444
P06737,CHEBI:597326
P06744,CHEBI:61548
P06744,CHEBI:58247
P06744,CHEBI:234464
P06744,CHEBI:60332
P06744,CHEBI:58735
P06744,CHEBI:234465
P06744,CHEBI:57634
P06744,CHEBI:58225
P07099,CHEBI:84031
P07099,CHEBI:15378
P07099,CHEBI:32395
P07099,CHEBI:50014
P07099,CHEBI:76625
P07099,CHEBI:139164
P07099,CHEBI:17754
P07099,CHEBI:84025
P07099,CHEBI:84032
P07099,CHEBI:52392
P07099,CHEBI:139161
P07099,CHEBI:50004
P07099,CHEBI:15377
P07333,CHEBI:46858
P07333,CHEBI:15378
P07333,CHEBI:456216
P07333,CHEBI:61978
P07333,CHEBI:30616
P07384,CHEBI:29108
P07948,CHEBI:46858
P07948,CHEBI:15378
P07948,CHEBI:456216
P07948,CHEBI:61978
P07948,CHEBI:30616
P07949,CHEBI:46858
P07949,CHEBI:29108
P07949,CHEBI:15378
P07949,CHEBI:456216
P07949,CHEBI:61978
P07949,CHEBI:30616
P08069,CHEBI:46858
P08069,CHEBI:15378
P08069,CHEBI:456216
P08069,CHEBI:61978
P08069,CHEBI:30616
P08559,CHEBI:58937
P08559,CHEBI:18420
P08559,CHEBI:83099
P08559,CHEBI:16526
P08559,CHEBI:15378
P08559,CHEBI:83111
P08559,CHEBI:15361
P08575,CHEBI:46858
P08575,CHEBI:43474
P08575,CHEBI:61978
P08575,CHEBI:15377
P08631,CHEBI:46858
P08631,CHEBI:15378
P08631,CHEBI:456216
P08631,CHEBI:61978
P08631,CHEBI:30616
P09543,CHEBI:66954
P09543,CHEBI:78552
P09543,CHEBI:15377
P09543,CHEBI:15378
P09622,CHEBI:83099
P09622,CHEBI:57540
P09622,CHEBI:15378
P09622,CHEBI:57692
P09622,CHEBI:57945
P09622,CHEBI:83100
P0DMM9,CHEBI:133529
P0DMM9,CHEBI:59905
P0DMM9,CHEBI:57917
P0DMM9,CHEBI:176515
P0DMM9,CHEBI:72587
P0DMM9,CHEBI:133524
P0DMM9,CHEBI:58448
P0DMM9,CHEBI:140994
P0DMM9,CHEBI:233044
P0DMM9,CHEBI:533015
P0DMM9,CHEBI:176511
P0DMM9,CHEBI:350546
P0DMM9,CHEBI:58339
P0DMM9,CHEBI:71406
P0DMM9,CHEBI:176513
P0DMM9,CHEBI:140317
P0DMM9,CHEBI:176514
P0DMM9,CHEBI:176512
P0DMM9,CHEBI:233043
P0DMM9,CHEBI:15378
P0DMM9,CHEBI:33853
P0DMM9,CHEBI:57261
P0DMM9,CHEBI:58343
P0DMM9,CHEBI:233042
P11150,CHEBI:35020
P11150,CHEBI:28868
P11150,CHEBI:72999
P11150,CHEBI:75824
P11150,CHEBI:17855
P11150,CHEBI:75938
P11150,CHEBI:53753
P11150,CHEBI:64765
P11150,CHEBI:76478
P11150,CHEBI:16870
P11150,CHEBI:17968
P11150,CHEBI:57643
P11150,CHEBI:15377
P11150,CHEBI:75945
P11150,CHEBI:75735
P11150,CHEBI:30823
P11150,CHEBI:74617
P11150,CHEBI:76083
P11150,CHEBI:18035
P11150,CHEBI:52333
P11150,CHEBI:7896
P11150,CHEBI:58168
P11150,CHEBI:15378
P11150,CHEBI:74669
P11150,CHEBI:64563
P11150,CHEBI:57875
P11150,CHEBI:72998
P11150,CHEBI:73990
P11177,CHEBI:58937
P11177,CHEBI:83099
P11177,CHEBI:16526
P11177,CHEBI:15378
P11177,CHEBI:83111
P11177,CHEBI:15361
P11182,CHEBI:57345
P11182,CHEBI:233973
P11182,CHEBI:233974
P11182,CHEBI:83088
P11182,CHEBI:57338
P11182,CHEBI:83142
P11182,CHEBI:57287
P11182,CHEBI:88166
P11182,CHEBI:83100
P11511,CHEBI:15740
P11511,CHEBI:16469
P11511,CHEBI:137110
P11511,CHEBI:17347
P11511,CHEBI:15378
P11511,CHEBI:16330
P11511,CHEBI:137032
P11511,CHEBI:57618
P11511,CHEBI:1156
P11511,CHEBI:30413
P11511,CHEBI:58210
P11511,CHEBI:16422
P11511,CHEBI:137031
P11511,CHEBI:799
P11511,CHEBI:17263
P11511,CHEBI:15377
P11511,CHEBI:27576
P11511,CHEBI:15379
P11586,CHEBI:15740
P11586,CHEBI:43474
P11586,CHEBI:57455
P11586,CHEBI:15378
P11586,CHEBI:15636
P11586,CHEBI:195366
P11586,CHEBI:58349
P11586,CHEBI:456216
P11586,CHEBI:57453
P11586,CHEBI:30616
P11586,CHEBI:15377
P11586,CHEBI:57783
P11597,CHEBI:53753
P11597,CHEBI:46898
P11597,CHEBI:41509
P12235,CHEBI:30616
P12235,CHEBI:456216
P12235,CHEBI:15378
P12821,CHEBI:190699
P12821,CHEBI:17996
P12821,CHEBI:132988
P12821,CHEBI:190700
P12821,CHEBI:190704
P12821,CHEBI:189868
P12821,CHEBI:190697
P12821,CHEBI:133147
P12821,CHEBI:190689
P12821,CHEBI:190703
P12821,CHEBI:147362
P12821,CHEBI:147350
P12821,CHEBI:190706
P12821,CHEBI:190694
P12821,CHEBI:58506
P12821,CHEBI:15377
P12821,CHEBI:189869
P12821,CHEBI:190709
P12821,CHEBI:190692
P12821,CHEBI:190693
P12821,CHEBI:190708
P12821,CHEBI:147392
P12821,CHEBI:189870
P12821,CHEBI:190701
P12821,CHEBI:29105
P12821,CHEBI:190710
P12821,CHEBI:147352
