Entry,Entry Name,Protein names,Gene Names,Function [CC],Subcellular location [CC],Involvement in disease,Gene Ontology (biological process),Gene Ontology (molecular function),Gene Ontology (cellular component),Cofactor,Catalytic activity,KEGG,Reactome
Q6UX71,PXDC2_HUMAN,Plexin domain-containing protein 2 (Tumor endothelial marker 7-related protein),PLXDC2 TEM7R UNQ2514/PRO6003,May play a role in tumor angiogenesis. .,Membrane ; Single-pass type I membrane protein .,,,,membrane [GO:0016020],,,hsa:84898;,
Q6UXX9,RSPO2_HUMAN,R-spondin-2 (Roof plate-specific spondin-2) (hRspo2),RSPO2 UNQ9384/PRO34209,"Activator of the canonical Wnt signaling pathway by acting as a ligand for LGR4-6 receptors. Upon binding to LGR4-6 (LGR4, LGR5 or LGR6), LGR4-6 associate with phosphorylated LRP6 and frizzled receptors that are activated by extracellular Wnt receptors, triggering the canonical Wnt signaling pathway to increase expression of target genes. Also regulates the canonical Wnt/beta-catenin-dependent pathway and non-canonical Wnt signaling by acting as an inhibitor of ZNRF3, an important regulator of the Wnt signaling pathway (PubMed:21727895, PubMed:21909076, PubMed:22615920). During embryonic development, plays a crucial role in limb specification, amplifying the Wnt signaling pathway independently of LGR4-6 receptors, possibly by acting as a direct antagonistic ligand to RNF43 and ZNRF3, hence governing the number of limbs an embryo should form (PubMed:29769720). .",Secreted .,"Tetraamelia syndrome 2 (TETAMS2) [MIM:618021]: A form of tetraamelia, a rare disease characterized by rudimentary appendages or complete absence of all four limbs, and other anomalies such as craniofacial, nervous system, pulmonary, skeletal and urogenital defects. TETAMS2 patients manifest limb deformities, bilateral agenesis of the lungs, abnormalities of the pulmonary vasculature, labioscrotal fold aplasia, and dysmorphic features including bilateral cleft lip/palate, ankyloglossia, mandibular hypoplasia, and microretrognathia. TETAMS2 transmission pattern is consistent with autosomal recessive inheritance. . Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Humerofemoral hypoplasia with radiotibial ray deficiency (HHRRD) [MIM:618022]: A severe disease characterized by reduction of all four limbs as well as hypoplasia of the upper limb girdle and pelvis. Rudimentary finger- or toe-like appendages may be present. HHRRD transmission pattern is consistent with autosomal recessive inheritance. . Note=The disease is caused by variants affecting the gene represented in this entry.",bone mineralization [GO:0030282]; canonical Wnt signaling pathway [GO:0060070]; dopaminergic neuron differentiation [GO:0071542]; embryonic forelimb morphogenesis [GO:0035115]; embryonic hindlimb morphogenesis [GO:0035116]; epithelial tube branching involved in lung morphogenesis [GO:0060441]; limb development [GO:0060173]; lung growth [GO:0060437]; negative regulation of odontogenesis of dentin-containing tooth [GO:0042489]; osteoblast differentiation [GO:0001649]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of Wnt signaling pathway [GO:0030177]; trachea cartilage morphogenesis [GO:0060535],BMP receptor binding [GO:0070700]; heparin binding [GO:0008201]; signaling receptor binding [GO:0005102],cell surface [GO:0009986]; extracellular region [GO:0005576]; extracellular space [GO:0005615],,,hsa:340419;,R-HSA-4641263;
Q6V1P9,PCD23_HUMAN,Protocadherin-23 (Cadherin-27) (Cadherin-like protein CDHJ) (Cadherin-like protein VR8) (Protein dachsous homolog 2) (Protocadherin PCDHJ),DCHS2 CDH27 CDHJ PCDH23 PCDHJ,Calcium-dependent cell-adhesion protein. .,Membrane ; Multi-pass membrane protein .,,axonogenesis [GO:0007409]; cell-cell adhesion mediated by cadherin [GO:0044331]; condensed mesenchymal cell proliferation [GO:0072137]; epithelial cell differentiation [GO:0030855]; establishment or maintenance of cell polarity [GO:0007163]; heart morphogenesis [GO:0003007]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; nephron development [GO:0072006]; tissue morphogenesis [GO:0048729],calcium ion binding [GO:0005509],adherens junction [GO:0005912]; plasma membrane [GO:0005886],,,hsa:54798;,
Q6ZMG9,CERS6_HUMAN,Ceramide synthase 6 (CerS6) (EC 2.3.1.-) (LAG1 longevity assurance homolog 6) (Sphingoid base N-palmitoyltransferase CERS6) (EC 2.3.1.291),CERS6 LASS6,"Ceramide synthase that catalyzes the transfer of the acyl chain from acyl-CoA to a sphingoid base, with high selectivity toward palmitoyl-CoA (hexadecanoyl-CoA; C16:0-CoA) (PubMed:17609214, PubMed:17977534, PubMed:23530041, PubMed:26887952, PubMed:31916624, PubMed:39528795). Can use other acyl donors, but with less efficiency (PubMed:39528795). N-acylates sphinganine and sphingosine bases to form dihydroceramides and ceramides in de novo synthesis and salvage pathways, respectively (PubMed:17977534, PubMed:23530041, PubMed:26887952, PubMed:31916624). Ceramides generated by CERS6 play a role in inflammatory response (By similarity). Acts as a regulator of metabolism and hepatic lipid accumulation (By similarity). Under high fat diet, palmitoyl- (C16:0-) ceramides generated by CERS6 specifically bind the mitochondrial fission factor MFF, thereby promoting mitochondrial fragmentation and contributing to the development of obesity (By similarity). .",Endoplasmic reticulum membrane ; Multi-pass membrane protein .,,ceramide biosynthetic process [GO:0046513]; inflammatory response [GO:0006954]; oligodendrocyte development [GO:0014003]; positive regulation of oligodendrocyte apoptotic process [GO:1900143]; sphingolipid biosynthetic process [GO:0030148],DNA binding [GO:0003677]; sphingosine N-acyltransferase activity [GO:0050291],endoplasmic reticulum membrane [GO:0005789]; membrane [GO:0016020],,"Reaction=a sphingoid base + hexadecanoyl-CoA = an N-hexadecanoyl-sphingoid base + CoA + H(+); Xref=Rhea:RHEA:61472, ChEBI:CHEBI:15378, ChEBI:CHEBI:57287, ChEBI:CHEBI:57379, ChEBI:CHEBI:84410, ChEBI:CHEBI:144703; EC=2.3.1.291; Evidence=; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:61473; Evidence=; CATALYTIC ACTIVITY: Reaction=sphinganine + hexadecanoyl-CoA = N-hexadecanoylsphinganine + CoA + H(+); Xref=Rhea:RHEA:36539, ChEBI:CHEBI:15378, ChEBI:CHEBI:57287, ChEBI:CHEBI:57379, ChEBI:CHEBI:57817, ChEBI:CHEBI:67042; Evidence=; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:36540; Evidence=; CATALYTIC ACTIVITY: Reaction=hexadecasphinganine + hexadecanoyl-CoA = N-hexadecanoylhexadecasphinganine + CoA + H(+); Xref=Rhea:RHEA:43040, ChEBI:CHEBI:15378, ChEBI:CHEBI:57287, ChEBI:CHEBI:57379, ChEBI:CHEBI:71009, ChEBI:CHEBI:82810; Evidence=; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:43041; Evidence=; CATALYTIC ACTIVITY: Reaction=sphing-4-enine + hexadecanoyl-CoA = N-hexadecanoylsphing-4-enine + CoA + H(+); Xref=Rhea:RHEA:36687, ChEBI:CHEBI:15378, ChEBI:CHEBI:57287, ChEBI:CHEBI:57379, ChEBI:CHEBI:57756, ChEBI:CHEBI:72959; Evidence=; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:36688; Evidence=; CATALYTIC ACTIVITY: Reaction=sphinganine + tetradecanoyl-CoA = N-(tetradecanoyl)-sphinganine + CoA + H(+); Xref=Rhea:RHEA:36571, ChEBI:CHEBI:15378, ChEBI:CHEBI:57287, ChEBI:CHEBI:57385, ChEBI:CHEBI:57817, ChEBI:CHEBI:67045; Evidence=; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:36572; Evidence=; CATALYTIC ACTIVITY: Reaction=sphinganine + octadecanoyl-CoA = N-(octadecanoyl)-sphinganine + CoA + H(+); Xref=Rhea:RHEA:36547, ChEBI:CHEBI:15378, ChEBI:CHEBI:57287, ChEBI:CHEBI:57394, ChEBI:CHEBI:57817, ChEBI:CHEBI:67033; Evidence=; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:36548; Evidence=;",hsa:253782;,R-HSA-1660661;
Q6ZMI3,GLDN_HUMAN,Gliomedin [Cleaved into: Gliomedin shedded ectodomain],GLDN COLM UNQ9339/PRO34011,"Ligand for NRCAM and NFASC/neurofascin that plays a role in the formation and maintenance of the nodes of Ranvier on myelinated axons. Mediates interaction between Schwann cell microvilli and axons via its interactions with NRCAM and NFASC. Nodes of Ranvier contain clustered sodium channels that are crucial for the saltatory propagation of action potentials along myelinated axons. During development, nodes of Ranvier are formed by the fusion of two heminodes. Required for normal clustering of sodium channels at heminodes; not required for the formation of mature nodes with normal sodium channel clusters. Required, together with NRCAM, for maintaining NFASC and sodium channel clusters at mature nodes of Ranvier. .","Cell membrane ; Single-pass type II membrane protein . Cell projection, axon . Note=Detected at the nodes of Ranvier. Detected at immature heminodes. .; SUBCELLULAR LOCATION: [Gliomedin shedded ectodomain]: Secreted . Secreted, extracellular space, extracellular matrix . Note=Proteolytic processing gives rise to a soluble extracellular domain that is secreted. The gliomedin shedded ectodomain localizes to the nodes of Ranvier. .","Lethal congenital contracture syndrome 11 (LCCS11) [MIM:617194]: A form of lethal congenital contracture syndrome, an autosomal recessive disorder characterized by degeneration of anterior horn neurons, extreme skeletal muscle atrophy and congenital non-progressive joint contractures. The contractures can involve the upper or lower limbs and/or the vertebral column, leading to various degrees of flexion or extension limitations evident at birth. . Note=The disease is caused by variants affecting the gene represented in this entry.",clustering of voltage-gated sodium channels [GO:0045162]; microvillus organization [GO:0032528]; signal transduction [GO:0007165],protein binding involved in heterotypic cell-cell adhesion [GO:0086080],axon [GO:0030424]; cell surface [GO:0009986]; collagen trimer [GO:0005581]; extracellular space [GO:0005615]; plasma membrane [GO:0005886],,,hsa:342035;,
Q6ZSZ6,TSH1_HUMAN,Teashirt homolog 1 (Antigen NY-CO-33) (Serologically defined colon cancer antigen 33),TSHZ1 SDCCAG33 TSH1,Probable transcriptional regulator involved in developmental processes. May act as a transcriptional repressor (Potential). .,Nucleus .,"Aural atresia, congenital (CAA) [MIM:607842]: A rare anomaly of the ear that involves some degree of failure of the development of the external auditory canal. The malformation can also involve the tympanic membrane, ossicles and middle ear space. The inner ear development is most often normal. Different CAA forms are known. CAA type I is characterized by bony or fibrous atresia of the lateral part of the external auditory canal and an almost normal medial part and middle ear. CAA type II is the most frequent type and is characterized by partial or total aplasia of the external auditory canal. CAA type IIA involves an external auditory canal with either complete bony atresia of the medial part or partial aplasia that ends blindly in a fistula leading to a rudimentary tympanic membrane. CAA type IIB is characterized by bony stenosis of the total length of the external auditory canal. CAA type III involves bony atresia of the external auditory canal and a very small or absent middle-ear cavity. . Note=The disease is caused by variants affecting the gene represented in this entry.",anterior/posterior pattern specification [GO:0009952]; middle ear morphogenesis [GO:0042474]; regulation of transcription by RNA polymerase II [GO:0006357]; soft palate development [GO:0060023],"DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]",chromatin [GO:0000785]; nucleus [GO:0005634],,,hsa:10194;,
Q6ZT62,BGIN_HUMAN,Bargin (Chimeric SH3BP1-PDXP protein),BARGIN,GTPase activating protein (GAP) which specifically converts GTP-bound RAC1 and CDC42 in their inactive GDP-bound form. The GAP activity is enhanced by the non-covalent binding of K-29 and K-48 polyubiquitin chains. .,"Cell membrane ; Peripheral membrane protein . Cytoplasm, cytosol . Note=Localization to membranes is increased by binding of poly-ubiquitin chains (PubMed:23223568). Enriched in tangle aggregates in cells of Alzheimer's disease brain (PubMed:23223568). .",,negative regulation of small GTPase mediated signal transduction [GO:0051058]; positive regulation of GTPase activity [GO:0043547]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of Rac protein signal transduction [GO:0035020]; signal transduction [GO:0007165],GTPase activator activity [GO:0005096]; linear polyubiquitin binding [GO:1990450],cytosol [GO:0005829]; plasma membrane [GO:0005886],,,,
Q6ZUJ8,BCAP_HUMAN,Phosphoinositide 3-kinase adapter protein 1 (B-cell adapter for phosphoinositide 3-kinase) (B-cell phosphoinositide 3-kinase adapter protein 1),PIK3AP1 BCAP,"Signaling adapter that contributes to B-cell development by linking B-cell receptor (BCR) signaling to the phosphoinositide 3-kinase (PI3K)-Akt signaling pathway. Has a complementary role to the BCR coreceptor CD19, coupling BCR and PI3K activation by providing a docking site for the PI3K subunit PIK3R1. Alternatively, links Toll-like receptor (TLR) signaling to PI3K activation, a process preventing excessive inflammatory cytokine production. Also involved in the activation of PI3K in natural killer cells. May be involved in the survival of mature B-cells via activation of REL. .",Cytoplasm . Cell membrane ; Peripheral membrane protein .,,positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]; regulation of inflammatory response [GO:0050727]; toll-like receptor 2 signaling pathway [GO:0034134]; toll-like receptor 4 signaling pathway [GO:0034142]; toll-like receptor 7 signaling pathway [GO:0034154]; toll-like receptor 9 signaling pathway [GO:0034162],identical protein binding [GO:0042802]; phosphatidylinositol 3-kinase regulatory subunit binding [GO:0036312]; signaling receptor binding [GO:0005102],cytosol [GO:0005829]; membrane [GO:0016020]; plasma membrane [GO:0005886],,,hsa:118788;,R-HSA-1257604;R-HSA-2219530;R-HSA-6811558;R-HSA-983695;
Q6ZVD7,STOX1_HUMAN,Storkhead-box protein 1 (Winged-helix domain-containing protein),STOX1 C10orf24,"Involved in regulating the levels of reactive oxidative species and reactive nitrogen species and in mitochondrial homeostasis in the placenta (PubMed:24738702). Required for regulation of inner ear epithelial cell proliferation via the AKT signaling pathway (By similarity). .; FUNCTION: [Isoform A]: Involved in cell cycle regulation by binding to the CCNB1 promoter, up-regulating its expression and promoting mitotic entry (PubMed:22253775). Induces phosphorylation of MAPT/tau (PubMed:22995177). .","[Isoform A]: Cytoplasm . Nucleus . Cytoplasm, cytoskeleton, microtubule organizing center, centrosome . Note=In epithelial cells, diffusely expressed in the cytoplasm, particularly in peri-membrane cortical regions (By similarity). Concentrated at centrosomes during metaphase (PubMed:22253775). .; SUBCELLULAR LOCATION: [Isoform B]: Nucleus.; SUBCELLULAR LOCATION: [Isoform C]: Nucleus, nucleolus.","Pre-eclampsia/eclampsia 4 (PEE4) [MIM:609404]: A hypertensive disorder of pregnancy characterized by new hypertension (blood pressure 140/90 or greater) presenting after 20 weeks' gestation with clinically relevant proteinuria. It impacts 2 individuals, the mother and her child, both of whom can be severely affected. Preeclampsia is one of the causes of maternal mortality and morbidity worldwide. . Note=The disease is caused by variants affecting the gene represented in this entry.",cell division [GO:0051301]; cellular response to nitrosative stress [GO:0071500]; inner ear development [GO:0048839]; negative regulation of gene expression [GO:0010629]; positive regulation of cyclin-dependent protein kinase activity [GO:1904031]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; positive regulation of G2/M transition of mitotic cell cycle [GO:0010971]; positive regulation of gene expression [GO:0010628]; positive regulation of otic vesicle morphogenesis [GO:1904120]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of peptidyl-threonine phosphorylation [GO:0010800]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]; regulation of gene expression [GO:0010468]; regulation of mitochondrial DNA metabolic process [GO:1901858]; regulation of mitochondrial membrane potential [GO:0051881]; regulation of mitochondrion organization [GO:0010821]; regulation of response to oxidative stress [GO:1902882]; regulation of transcription by RNA polymerase II [GO:0006357],DNA-binding transcription factor activity [GO:0003700]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977],cell cortex [GO:0005938]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; fibrillar center [GO:0001650]; nucleoplasm [GO:0005654]; nucleus [GO:0005634],,,hsa:219736;,
Q70EL3,UBP50_HUMAN,Ubiquitin carboxyl-terminal hydrolase 50 (EC 3.4.19.12) (Ubiquitin-specific peptidase 50),USP50,"Deubiquitinating enzyme that removes conjugated ubiquitin from specific proteins to regulate different cellular processes. Regulates the inflammasome signaling pathway by deubiquitinating 'Lys-63'-linked polyubiquitination of the PYCARD/ASC adapter protein (PubMed:28094437). Regulates the ubiquitination and stability of the ACE2 protein (PubMed:36876523). Acts as a negative regulator of the G2/M checkpoint pathway, by preventing serine/threonine kinase WEE1 degradation, thereby repressing entry into mitosis following activation of the G2/M DNA damage checkpoint (PubMed:20930503). .","Cytoplasm . Cytoplasm, cytoskeleton, microtubule organizing center, centrosome . Nucleus . Note=Accumulates in the nucleus following DNA injury. .",,endosome organization [GO:0007032]; nuclear speck organization [GO:0035063]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of interleukin-18 production [GO:0032741]; positive regulation of NLRP3 inflammasome complex assembly [GO:1900227]; protein deubiquitination [GO:0016579]; Ras protein signal transduction [GO:0007265]; regulation of cell cycle G2/M phase transition [GO:1902749],cysteine-type deubiquitinase activity [GO:0004843]; ubiquitin-like protein peptidase activity [GO:0019783],centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; midbody [GO:0030496]; nucleus [GO:0005634]; postsynaptic density [GO:0014069],,"Reaction=Thiol-dependent hydrolysis of ester, thioester, amide, peptide and isopeptide bonds formed by the C-terminal Gly of ubiquitin (a 76-residue protein attached to proteins as an intracellular targeting signal).; EC=3.4.19.12; Evidence=;",hsa:373509;,
Q70JA7,CHSS3_HUMAN,Chondroitin sulfate synthase 3 (EC 2.4.1.175) (EC 2.4.1.226) (Carbohydrate synthase 2) (Chondroitin glucuronyltransferase 3) (Chondroitin synthase 2) (ChSy-2) (Glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase II) (N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase 3) (N-acetylgalactosaminyltransferase 3),CHSY3 CHSY2 CSS3,"Has both beta-1,3-glucuronic acid and beta-1,4-N-acetylgalactosamine transferase activity. Transfers glucuronic acid (GlcUA) from UDP-GlcUA and N-acetylgalactosamine (GalNAc) from UDP-GalNAc to the non-reducing end of the elongating chondroitin polymer. Specific activity is much reduced compared to CHSY1. .","Golgi apparatus, Golgi stack membrane ; Single-pass type II membrane protein .",,chondroitin sulfate proteoglycan biosynthetic process [GO:0050650],glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase activity [GO:0047238]; metal ion binding [GO:0046872]; N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase activity [GO:0050510],Golgi cisterna membrane [GO:0032580]; Golgi membrane [GO:0000139],"Name=Co(2+); Xref=ChEBI:CHEBI:48828; Evidence=; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence=; Name=Cd(2+); Xref=ChEBI:CHEBI:48775; Evidence=; Note=Divalent metal cations. Highest activities are measured with Co(2+), Mn(2+) and Cd(2+). ;","Reaction=3-O-(beta-D-GlcA-(1->3)-beta-D-GalNAc-(1->4)-beta-D-GlcA-(1->3)-beta-D-Gal-(1->3)-beta-D-Gal-(1->4)-beta-D-Xyl)-L-seryl-[protein] + UDP-N-acetyl-alpha-D-galactosamine = 3-O-(beta-D-GalNAc-(1->4)-beta-D-GlcA-(1->3)-beta-D-GalNAc-(1->4)-beta-D-GlcA-(1->3)-beta-D-Gal-(1->3)-beta-D-Gal-(1->4)-beta-D-Xyl)-L-seryl-[protein] + UDP + H(+); Xref=Rhea:RHEA:20800, Rhea:RHEA-COMP:14058, Rhea:RHEA-COMP:14059, ChEBI:CHEBI:15378, ChEBI:CHEBI:58223, ChEBI:CHEBI:67138, ChEBI:CHEBI:138442, ChEBI:CHEBI:138443; EC=2.4.1.175; CATALYTIC ACTIVITY: Reaction=3-O-{beta-D-GlcA-(1->3)-[beta-D-GalNAc-(1->4)-beta-D-GlcA-(1->3)](n)-beta-D-GalNAc-(1->4)-beta-D-GlcA-(1->3)-beta-D-Gal-(1->3)-beta-D-Gal-(1->4)-beta-D-Xyl}-L-seryl-[protein] + UDP-N-acetyl-alpha-D-galactosamine = 3-O-{[beta-D-GalNAc-(1->4)-beta-D-GlcA-(1->3)](n+1)-beta-D-GalNAc-(1->4)-beta-D-GlcA-(1->3)-beta-D-Gal-(1->3)-beta-D-Gal-(1->4)-beta-D-Xyl}-L-seryl-[protein] + UDP + H(+); Xref=Rhea:RHEA:55000, Rhea:RHEA-COMP:14060, Rhea:RHEA-COMP:14301, ChEBI:CHEBI:15378, ChEBI:CHEBI:58223, ChEBI:CHEBI:67138, ChEBI:CHEBI:138444, ChEBI:CHEBI:138445; EC=2.4.1.175; CATALYTIC ACTIVITY: Reaction=3-O-(beta-D-GalNAc-(1->4)-beta-D-GlcA-(1->3)-beta-D-Gal-(1->3)-beta-D-Gal-(1->4)-beta-D-Xyl)-L-seryl-[protein] + UDP-alpha-D-glucuronate = 3-O-(beta-D-GlcA-(1->3)-beta-D-GalNAc-(1->4)-beta-D-GlcA-(1->3)-beta-D-Gal-(1->3)-beta-D-Gal-(1->4)-beta-D-Xyl)-L-seryl-[protein] + UDP + H(+); Xref=Rhea:RHEA:23428, Rhea:RHEA-COMP:12575, Rhea:RHEA-COMP:14058, ChEBI:CHEBI:15378, ChEBI:CHEBI:58052, ChEBI:CHEBI:58223, ChEBI:CHEBI:132105, ChEBI:CHEBI:138442; EC=2.4.1.226; CATALYTIC ACTIVITY: Reaction=3-O-{[beta-D-GalNAc-(1->4)-beta-D-GlcA-(1->3)](n)-beta-D-GalNAc-(1->4)-beta-D-GlcA-(1->3)-beta-D-Gal-(1->3)-beta-D-Gal-(1->4)-beta-D-Xyl}-L-seryl-[protein] + UDP-alpha-D-glucuronate = 3-O-{beta-D-GlcA-(1->3)-[beta-D-GalNAc-(1->4)-beta-D-GlcA-(1->3)](n)-beta-D-GalNAc-(1->4)-beta-D-GlcA-(1->3)-beta-D-Gal-(1->3)-beta-D-Gal-(1->4)-beta-D-Xyl}-L-seryl-[protein] + UDP + H(+); Xref=Rhea:RHEA:54996, Rhea:RHEA-COMP:14060, Rhea:RHEA-COMP:14061, ChEBI:CHEBI:15378, ChEBI:CHEBI:58052, ChEBI:CHEBI:58223, ChEBI:CHEBI:138444, ChEBI:CHEBI:138445; EC=2.4.1.226;",hsa:337876;,R-HSA-2022870;
Q765P7,MTSS2_HUMAN,Protein MTSS 2 (Actin-bundling with BAIAP2 homology protein 1) (ABBA-1) (MTSS1-like protein),MTSS2 MTSS1L,"Involved in plasma membrane dynamics. Potentiated PDGF-mediated formation of membrane ruffles and lamellipodia in fibroblasts, acting via RAC1 activation (PubMed:14752106). May function in actin bundling (PubMed:14752106). .","Cytoplasm . Cell projection, ruffle . Note=Colocalizes with RAC1 within membrane ruffles. .","Intellectual developmental disorder with ocular anomalies and distinctive facial features (IDDOF) [MIM:620086]: An autosomal dominant disorder characterized by global developmental delay, mild intellectual disability, ophthalmologic anomalies, microcephaly or relative microcephaly, hearing loss, and characteristic facial features including long, upslanting palpebral fissures, bitemporal narrowing of the forehead, arched eyebrows, and epicanthal folds. . Note=The disease is caused by variants affecting the gene represented in this entry.",activation of GTPase activity [GO:0090630]; cell projection assembly [GO:0030031]; cellular response to platelet-derived growth factor stimulus [GO:0036120]; lamellipodium organization [GO:0097581]; membrane organization [GO:0061024]; plasma membrane organization [GO:0007009],"actin binding [GO:0003779]; actin monomer binding [GO:0003785]; GTPase activator activity [GO:0005096]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; phospholipid binding [GO:0005543]; small GTPase binding [GO:0031267]",actin cytoskeleton [GO:0015629]; cortical actin cytoskeleton [GO:0030864]; cytoplasmic side of plasma membrane [GO:0009898]; lamellipodium [GO:0030027]; ruffle membrane [GO:0032587],,,hsa:92154;,
