chebi_id,name,description,formula,mass,charge,monoisotopic_mass,smiles,inchikey,ontology_parents,ontology_parent_ids,kegg_compound_id
CHEBI:138008,"(5Z,8R,9R,11Z,14Z)-8,9-dihydroxyicosatrienoate","A (5<i>Z</i>,11<i>Z</i>,14<i>Z</i>)-8,9-dihydroxyicosatrienoate obtained by deprotonation of the carboxy group of (5<i>Z</i>,8<i>R</i>,9<i>R</i>,11<i>Z</i>,14<i>Z</i>)-8,9-dihydroxyicosatrienoic acid; major species at pH 7.3.",,337.48,-1.0,,,,"(5Z,11Z,14Z)-8,9-dihydroxyicosatrienoate",CHEBI:84032,
CHEBI:138098,"2-[(9S,11R)-epidioxy-(15S)-hydroperoxy-(5Z,13E)-prostadienoyl]-sn-glycero-3-phosphoethanolamine zwitterion","A 2-acyl-<em>sn</em>-glycero-3-phosphoethanolamine zwitterion obtained by transfer of a proton from the phosphate to the amino group of 2-[(9<i>S</i>,11<i>R</i>)-epidioxy-15(<i>S</i>)-hydroperoxy-(5<i>Z</i>,13<i>E</i>)-prostadienoyl]-<em>sn</em>-glycero-3-phosphoethanolamine; major species at pH 7.3.",,565.597,0.0,,,,2-acyl-sn-glycero-3-phosphoethanolamine zwitterion; oxidized 2-acyl-sn-glycero-3-phosphoethanolamine zwitterion,CHEBI:65213; CHEBI:167121,
CHEBI:138099,"2-[(9S,11R)-epidioxy-(15S)-hydroxy-(5Z,13E)-prostadienoyl]-sn-glycero-3-phosphoethanolamine zwitterion","A 2-acyl-<em>sn</em>-glycero-3-phosphoethanolamine zwitterion obtained by transfer of a proton from the phosphate to the amino group of 2-[(9<i>S</i>,11<i>R</i>)-epidioxy-(15<i>S</i>)-hydroxy-(5<i>Z</i>,13<i>E</i>)-prostadienoyl]-<em>sn</em>-glycero-3-phosphoethanolamine; major species at pH 7.3.",,549.598,0.0,,,,2-acyl-sn-glycero-3-phosphoethanolamine zwitterion; oxidized 2-acyl-sn-glycero-3-phosphoethanolamine zwitterion,CHEBI:65213; CHEBI:167121,
CHEBI:138100,"2-[(9S,11R)-epidioxy-(15S)-hydroperoxy-(5Z,13E)-prostadienoyl]-sn-glycero-3- phosphocholine","A 2-acyl-<em>sn</em>-glycero-3-phosphocholine in which the acyl group is specified as (9<i>S</i>,11<i>R</i>)-epidioxy-(15<i>S</i>)-hydroperoxy-(5<i>Z</i>,13<i>E</i>)-prostadienoyl.",,607.678,0.0,,,,2-acyl-sn-glycero-3-phosphocholine; prostanoid; oxidized 2-acyl-sn-glycero-3-phosphocholine zwitterion; hydroperoxy fatty ester,CHEBI:57875; CHEBI:26347; CHEBI:167119; CHEBI:145037,
CHEBI:138101,"2-[(9S,11R)-epidioxy-(15S)-hydroxy-(5Z,13E)-prostadienoyl]-sn-glycero-3- phosphocholine",A prostanoid-LPC that is the ammonium betaine of a 2-(prostaglandin H<small><sub>2</sub></small>)-<em>sn</em>-glycero-3-phosphocholine arising from deprotonation of the phosphate OH group; major species at pH 7.3.,,591.679,0.0,,,,2-acyl-sn-glycero-3-phosphocholine; prostanoid; oxidized 2-acyl-sn-glycero-3-phosphocholine zwitterion; secondary allylic alcohol,CHEBI:57875; CHEBI:26347; CHEBI:167119; CHEBI:134396,
CHEBI:138195,"1,2-diheptanoyl-sn-glycero-3-phosphocholine",A phosphatidylcholine 14:0 in which both acyl groups are specified as heptanoyl.,,481.567,0.0,,,,phosphatidylcholine 14:0,CHEBI:137852,
CHEBI:138266,2-heptanoyl-sn-glycero-3-phosphocholine,A 2-acyl-<em>sn</em>-glycero-3-phosphocholine in which the acyl group is specified as heptanoyl.,,369.395,0.0,,,,2-acyl-sn-glycero-3-phosphocholine,CHEBI:57875,
CHEBI:138442,O(3)-(beta-D-GlcA-(1->3)-beta-D-GalNAc-(1->4)-beta-D-GlcA-(1->3)-beta-D-Gal-(1->3)-beta-D-Gal-(1->4)-beta-D-Xyl)-L-serine(2-) residue,An α-amino-acid residue anion obtained by deprotonation of the carboxy groups of <em>O</em><small><sup>3</small></sup>-(β-<small>D</small>-GlcA-(1→3)-β-<small>D</small>-GalNAc-(1→4)-β-<small>D</small>-GlcA-(1→3)-β-<small>D</small>-Gal-(1→3)-β-<small>D</small>-Gal-(1→4)-β-<small>D</small>-Xyl)-<small>L</small>-serine residue.,,1096.901,-2.0,,,,alpha-amino-acid residue anion,CHEBI:35416,
CHEBI:138443,O(3)-(beta-D-GalNAc-(1->4)-beta-D-GlcA-(1->3)-beta-D-GalNAc-(1->4)-beta-D-GlcA-(1->3)-beta-D-Gal-(1->3)-beta-D-Gal-(1->4)-beta-D-Xyl)-L-serine(2-) residue,An α-amino-acid residue anion obtained by deprotonation of the carboxy groups of <em>O</em><small><sup>3</small></sup>-(β-<small>D</small>-GalNAc-(1→4)-β-<small>D</small>-GlcA-(1→3)-β-<small>D</small>-GalNAc-(1→4)-β-<small>D</small>-GlcA-(1→3)-β-<small>D</small>-Gal-(1→3)-β-<small>D</small>-Gal-(1→4)-β-<small>D</small>-Xyl)-<small>L</small>-serine residue,,1300.095,-2.0,,,,alpha-amino-acid residue anion,CHEBI:35416,
CHEBI:138724,all-trans-retinyl heptanoate,An <i>all</i>-<i>trans</i>-retinyl ester obtained by formal condensation of the carboxy group of heptanoic acid with the hydroxy group of <i>all</i>-<i>trans</i>-retinol.,,398.631,0.0,,,,all-trans-retinyl ester,CHEBI:63410,
